### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/gurobi_things/gurobi_presolved/C5_bigger_sanitized_gurobi_presolved.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-07-22T16:21:53.301217
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/gurobi_things/gurobi_presolved/C5_bigger_sanitized_gurobi_presolved.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs_endtoend/1e-4/dpdlp/C5_bigger_sanitized_gurobi_presolved__N8 --iter_limit 10000000 --time_limit 3600 --eps_opt 1e-4 --eps_feas 1e-4 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/gurobi_things/gurobi_presolved/C5_bigger_sanitized_gurobi_presolved.mps'...
[Auto-Grid] Decided grid shape: 1 x 8 for 8 processes.
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 7593333 rows, 88150082 columns, 204746557 nonzeros
settings:
  iter_limit         : 10000000
  time_limit         : 3600.00 sec
  eps_opt            : 1.0e-04
  eps_feas           : 1.0e-04
  eps_infeas_detect  : 1.0e-10
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : Auto-detect (implementation dependent)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------
[Timer] Permuting LP Problem took 6.253 seconds.
[Timer] Data Distribution (Bcast -> Partition) took 12.285 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 0.0e+00 | -5.2e+09  -5.2e+09 | 1.0e+08 2.0e+06 0.0e+00 | 1.0e+00 1.0e+00 0.0e+00 
   200 6.7e-01 | -1.6e+11   2.1e+12 | 7.0e+06 2.5e+04 2.2e+12 | 7.0e-02 1.3e-02 1.0e+00 
   400 1.6e+00 | -8.0e+10   1.1e+12 | 4.8e+06 1.4e+04 1.2e+12 | 4.8e-02 6.9e-03 1.0e+00 
   600 1.8e+00 | -5.6e+10   9.4e+11 | 4.0e+06 1.0e+04 1.0e+12 | 4.0e-02 5.0e-03 1.0e+00 
   800 1.9e+00 | -4.6e+10   7.9e+11 | 3.4e+06 8.0e+03 8.4e+11 | 3.4e-02 4.0e-03 1.0e+00 
  1000 2.1e+00 | -3.6e+10   7.5e+11 | 3.0e+06 6.9e+03 7.9e+11 | 3.0e-02 3.5e-03 1.0e+00 
  1200 2.2e+00 | -3.1e+10   7.8e+11 | 2.6e+06 6.0e+03 8.1e+11 | 2.6e-02 3.0e-03 1.0e+00 
  1400 2.4e+00 | -2.6e+10   7.8e+11 | 2.3e+06 5.4e+03 8.1e+11 | 2.3e-02 2.7e-03 1.0e+00 
  1600 2.5e+00 | -2.1e+10   7.9e+11 | 2.2e+06 5.2e+03 8.1e+11 | 2.2e-02 2.6e-03 1.0e+00 
  1800 2.7e+00 | -1.8e+10   8.0e+11 | 2.0e+06 5.0e+03 8.1e+11 | 2.0e-02 2.5e-03 1.0e+00 
  2000 2.8e+00 | -1.6e+10   7.9e+11 | 1.9e+06 4.9e+03 8.1e+11 | 1.9e-02 2.5e-03 1.0e+00 
  2200 3.0e+00 | -1.4e+10   7.9e+11 | 1.6e+06 4.9e+03 8.0e+11 | 1.6e-02 2.5e-03 1.0e+00 
  2400 3.1e+00 | -1.1e+10   7.9e+11 | 1.5e+06 5.0e+03 8.0e+11 | 1.5e-02 2.5e-03 1.0e+00 
  2600 3.3e+00 | -8.9e+09   7.9e+11 | 1.3e+06 5.1e+03 8.0e+11 | 1.3e-02 2.5e-03 1.0e+00 
