### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/gurobi_things/gurobi_presolved/ELMOD_876_10_noVEnames_gurobi_presolved.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-07-22T16:32:55.246615
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/gurobi_things/gurobi_presolved/ELMOD_876_10_noVEnames_gurobi_presolved.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs_endtoend/1e-4/dpdlp/ELMOD_876_10_noVEnames_gurobi_presolved__N8 --iter_limit 10000000 --time_limit 3600 --eps_opt 1e-4 --eps_feas 1e-4 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/gurobi_things/gurobi_presolved/ELMOD_876_10_noVEnames_gurobi_presolved.mps'...
[Auto-Grid] Decided grid shape: 2 x 4 for 8 processes.
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 46647013 rows, 157724594 columns, 328466533 nonzeros
settings:
  iter_limit         : 10000000
  time_limit         : 3600.00 sec
  eps_opt            : 1.0e-04
  eps_feas           : 1.0e-04
  eps_infeas_detect  : 1.0e-10
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : Auto-detect (implementation dependent)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------
[Timer] Permuting LP Problem took 9.697 seconds.
[Timer] Data Distribution (Bcast -> Partition) took 24.909 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 0.0e+00 |  5.6e+04   5.6e+04 | 1.1e+06 7.7e+01 0.0e+00 | 8.2e-02 9.9e-01 0.0e+00 
   200 5.1e-01 |  6.8e+05   2.8e+07 | 3.8e+04 8.8e+03 2.7e+07 | 2.8e-03 1.1e+02 9.5e-01 
   400 1.0e+00 |  1.4e+05   4.5e+05 | 1.9e+05 4.7e+03 3.1e+05 | 1.4e-02 6.1e+01 5.2e-01 
   600 1.5e+00 |  1.2e+05  -1.5e+05 | 1.3e+05 3.0e+03 2.7e+05 | 1.0e-02 3.9e+01 1.0e+00 
   800 2.0e+00 |  1.1e+05  -1.3e+05 | 1.3e+05 1.9e+03 2.4e+05 | 1.0e-02 2.4e+01 1.0e+00 
  1000 2.4e+00 |  9.7e+04  -1.5e+05 | 1.6e+05 1.8e+03 2.5e+05 | 1.2e-02 2.3e+01 1.0e+00 
  1200 2.9e+00 |  9.1e+04  -8.9e+04 | 1.5e+05 1.6e+03 1.8e+05 | 1.1e-02 2.0e+01 1.0e+00 
  1400 3.4e+00 |  8.9e+04  -5.4e+04 | 1.4e+05 9.6e+02 1.4e+05 | 1.1e-02 1.2e+01 1.0e+00 
  1600 3.9e+00 |  8.8e+04  -3.9e+04 | 1.4e+05 7.5e+02 1.3e+05 | 1.1e-02 9.6e+00 1.0e+00 
  1800 4.4e+00 |  8.7e+04   9.0e+03 | 1.3e+05 7.5e+02 7.8e+04 | 9.8e-03 9.7e+00 8.1e-01 
  2000 4.8e+00 |  8.6e+04   5.4e+04 | 1.1e+05 6.9e+02 3.2e+04 | 8.5e-03 8.9e+00 2.3e-01 
  2200 5.3e+00 |  8.5e+04   1.0e+05 | 9.8e+04 6.8e+02 1.5e+04 | 7.3e-03 8.7e+00 8.0e-02 
  2400 5.8e+00 |  8.4e+04   1.5e+05 | 8.7e+04 9.1e+02 6.4e+04 | 6.5e-03 1.2e+01 2.7e-01 
  2600 6.3e+00 |  8.3e+04   2.0e+05 | 7.3e+04 1.0e+03 1.2e+05 | 5.5e-03 1.3e+01 4.1e-01 
