### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/C5_baseline_sanitized.mps
### n_gpus=1
### CUDA_VISIBLE_DEVICES=0
### started=2026-06-28T19:35:14.188966
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 1 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/C5_baseline_sanitized.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/C5_baseline_sanitized__N1 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/C5_baseline_sanitized.mps'...
[Auto-Grid] Decided grid shape: 1 x 1 for 1 processes.
[Timer] Permuting LP Problem took 8.628 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 20649941 rows, 133005495 columns, 279633807 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 1 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 15.962 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 5.6e-03 |  0.0e+00   0.0e+00 | 2.8e+08 3.2e+06 0.0e+00 | 1.0e+00 1.0e+00 0.0e+00 
    10 6.2e-02 | -6.2e+11   8.1e+14 | 1.1e+09 1.2e+07 8.1e+14 | 3.9e+00 3.7e+00 1.0e+00 
    20 1.2e-01 | -4.6e+11   1.6e+15 | 8.7e+08 9.0e+06 1.6e+15 | 3.1e+00 2.8e+00 1.0e+00 
    30 1.8e-01 | -3.8e+11   2.4e+15 | 6.8e+08 9.2e+06 2.4e+15 | 2.4e+00 2.9e+00 1.0e+00 
    40 2.3e-01 | -3.3e+11   3.3e+15 | 5.9e+08 8.6e+06 3.3e+15 | 2.1e+00 2.7e+00 1.0e+00 
    50 2.9e-01 | -2.9e+11   4.1e+15 | 5.3e+08 8.6e+06 4.1e+15 | 1.9e+00 2.7e+00 1.0e+00 
    60 3.5e-01 | -2.6e+11   4.9e+15 | 4.8e+08 8.5e+06 4.9e+15 | 1.7e+00 2.7e+00 1.0e+00 
    70 4.0e-01 | -2.4e+11   5.7e+15 | 4.5e+08 8.4e+06 5.7e+15 | 1.6e+00 2.6e+00 1.0e+00 
    80 4.6e-01 | -2.2e+11   6.5e+15 | 4.1e+08 8.4e+06 6.5e+15 | 1.5e+00 2.6e+00 1.0e+00 
    90 5.2e-01 | -2.0e+11   7.3e+15 | 3.9e+08 8.3e+06 7.3e+15 | 1.4e+00 2.6e+00 1.0e+00 
   100 5.7e-01 | -1.9e+11   8.2e+15 | 3.7e+08 8.3e+06 8.2e+15 | 1.3e+00 2.6e+00 1.0e+00 
   110 6.3e-01 | -1.7e+11   9.0e+15 | 3.5e+08 8.3e+06 9.0e+15 | 1.3e+00 2.6e+00 1.0e+00 
