### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/mostovoi_cuopt/datasets/linear_programming/afiro_original.mps
### n_gpus=1
### CUDA_VISIBLE_DEVICES=0
### started=2026-06-28T19:30:40.629147
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 1 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/mostovoi_cuopt/datasets/linear_programming/afiro_original.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/afiro_original__N1 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/mostovoi_cuopt/datasets/linear_programming/afiro_original.mps'...
[Auto-Grid] Decided grid shape: 1 x 1 for 1 processes.
[Timer] Permuting LP Problem took 0.000 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 27 rows, 32 columns, 83 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 1 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 0.000 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.4e-04 |  0.0e+00   0.0e+00 | 0.0e+00 1.0e+01 0.0e+00 | 0.0e+00 9.1e-01 0.0e+00 
    10 5.2e-04 | -1.1e+02   0.0e+00 | 1.6e+01 6.8e-01 1.1e+02 | 1.9e-02 6.2e-02 9.9e-01 
    20 8.4e-04 | -2.1e+02  -1.0e+01 | 7.4e+00 6.2e-01 2.0e+02 | 8.8e-03 5.6e-02 9.0e-01 
    30 1.2e-03 | -3.0e+02  -3.4e+01 | 3.2e+00 5.7e-01 2.6e+02 | 3.8e-03 5.1e-02 7.9e-01 
    40 1.5e-03 | -3.8e+02  -3.7e+01 | 2.5e+00 5.6e-01 3.5e+02 | 3.0e-03 5.1e-02 8.2e-01 
    50 1.8e-03 | -4.7e+02  -1.1e+02 | 2.6e+00 4.6e-01 3.5e+02 | 3.1e-03 4.2e-02 6.1e-01 
    60 2.1e-03 | -4.5e+02  -3.1e+02 | 2.6e+00 2.6e-01 1.3e+02 | 3.1e-03 2.3e-02 1.8e-01 
    70 2.4e-03 | -4.7e+02  -3.4e+02 | 1.2e+01 2.3e-01 1.3e+02 | 1.5e-02 2.1e-02 1.6e-01 
    80 2.7e-03 | -4.7e+02  -2.5e+02 | 3.8e+00 2.9e-01 2.2e+02 | 4.6e-03 2.6e-02 3.1e-01 
    90 3.0e-03 | -4.6e+02  -3.9e+02 | 3.1e+00 1.2e-01 7.0e+01 | 3.7e-03 1.1e-02 8.3e-02 
   100 3.3e-03 | -4.7e+02  -4.2e+02 | 7.6e+00 9.3e-02 5.2e+01 | 9.1e-03 8.4e-03 5.8e-02 
   110 3.7e-03 | -4.7e+02  -3.2e+02 | 4.0e+00 2.0e-01 1.5e+02 | 4.7e-03 1.8e-02 1.9e-01 
