### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/mediterranean-shipping.mps
### n_gpus=2
### CUDA_VISIBLE_DEVICES=0,1
### started=2026-06-28T19:55:37.719774
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 2 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/mediterranean-shipping.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/mediterranean-shipping__N2 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/mediterranean-shipping.mps'...
[Auto-Grid] Decided grid shape: 1 x 2 for 2 processes.
[Timer] Permuting LP Problem took 18.996 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 7490593 rows, 208479461 columns, 628927462 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 2 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 38.384 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 5.4e-03 |  0.0e+00   0.0e+00 | 0.0e+00 2.4e+03 0.0e+00 | 0.0e+00 1.0e+00 0.0e+00 
    10 6.2e-02 | -5.3e+00   0.0e+00 | 3.1e-01 5.1e+01 5.3e+00 | 1.1e-01 2.1e-02 8.4e-01 
    20 1.2e-01 | -8.3e+00   0.0e+00 | 3.8e-01 1.0e+02 8.3e+00 | 1.4e-01 4.2e-02 8.9e-01 
    30 1.7e-01 | -8.7e+00   0.0e+00 | 3.4e-01 1.0e+02 8.7e+00 | 1.2e-01 4.4e-02 9.0e-01 
    40 2.3e-01 | -8.1e+00   0.0e+00 | 2.5e-01 9.7e+01 8.1e+00 | 9.1e-02 4.1e-02 8.9e-01 
    50 2.8e-01 | -7.6e+00   0.0e+00 | 1.8e-01 8.5e+01 7.6e+00 | 6.5e-02 3.5e-02 8.8e-01 
    60 3.4e-01 | -7.7e+00   0.0e+00 | 1.4e-01 7.7e+01 7.7e+00 | 5.2e-02 3.2e-02 8.9e-01 
    70 3.9e-01 | -8.5e+00   0.0e+00 | 1.3e-01 7.3e+01 8.5e+00 | 4.7e-02 3.1e-02 8.9e-01 
    80 4.5e-01 | -9.4e+00   0.0e+00 | 1.2e-01 7.1e+01 9.4e+00 | 4.4e-02 3.0e-02 9.0e-01 
    90 5.0e-01 | -1.0e+01   0.0e+00 | 1.1e-01 7.2e+01 1.0e+01 | 4.1e-02 3.0e-02 9.1e-01 
   100 5.6e-01 | -1.1e+01   0.0e+00 | 1.1e-01 7.3e+01 1.1e+01 | 3.8e-02 3.0e-02 9.2e-01 
   110 6.1e-01 | -1.1e+01   0.0e+00 | 9.3e-02 7.2e+01 1.1e+01 | 3.4e-02 3.0e-02 9.2e-01 
