### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/production-imventory.mps
### n_gpus=4
### CUDA_VISIBLE_DEVICES=0,1,2,3
### started=2026-06-28T20:00:16.507714
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 4 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/production-imventory.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/production-imventory__N4 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/production-imventory.mps'...
[Auto-Grid] Decided grid shape: 1 x 4 for 4 processes.
[Timer] Permuting LP Problem took 11.812 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 4650850 rows, 18270600 columns, 500049700 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 4 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 21.761 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.4e-03 |  0.0e+00   0.0e+00 | 2.1e+02 2.4e+01 0.0e+00 | 7.7e-01 9.6e-01 0.0e+00 
    10 1.7e-02 | -1.5e+06   2.7e+03 | 1.3e+03 5.3e+02 1.5e+06 | 4.6e+00 2.1e+01 1.0e+00 
    20 3.0e-02 | -3.2e+06   2.5e+03 | 2.6e+03 7.5e+02 3.2e+06 | 9.6e+00 2.9e+01 1.0e+00 
    30 4.3e-02 | -4.8e+06   2.5e+03 | 4.0e+03 7.6e+02 4.8e+06 | 1.4e+01 3.0e+01 1.0e+00 
    40 5.6e-02 | -6.3e+06   2.9e+03 | 5.2e+03 6.8e+02 6.3e+06 | 1.9e+01 2.7e+01 1.0e+00 
    50 6.9e-02 | -7.7e+06   3.8e+03 | 6.4e+03 6.2e+02 7.7e+06 | 2.3e+01 2.4e+01 1.0e+00 
    60 8.2e-02 | -9.0e+06   4.8e+03 | 7.5e+03 5.5e+02 9.0e+06 | 2.7e+01 2.2e+01 1.0e+00 
    70 9.5e-02 | -1.0e+07   5.9e+03 | 8.4e+03 5.1e+02 1.0e+07 | 3.0e+01 2.0e+01 1.0e+00 
    80 1.1e-01 | -1.1e+07   7.0e+03 | 9.3e+03 4.8e+02 1.1e+07 | 3.4e+01 1.9e+01 1.0e+00 
    90 1.2e-01 | -1.2e+07   8.5e+03 | 1.0e+04 4.7e+02 1.2e+07 | 3.6e+01 1.8e+01 1.0e+00 
   100 1.3e-01 | -1.3e+07   1.0e+04 | 1.1e+04 4.8e+02 1.3e+07 | 3.9e+01 1.9e+01 1.0e+00 
