### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/psr_100.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-06-28T19:33:27.598404
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/psr_100.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/psr_100__N8 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/psr_100.mps'...
[Auto-Grid] Decided grid shape: 2 x 4 for 8 processes.
[Timer] Permuting LP Problem took 25.481 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 234509018 rows, 303096179 columns, 857252872 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 2 x 4 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 74.094 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 9.1e-03 |  0.0e+00   0.0e+00 | 1.1e+09 1.8e+07 0.0e+00 | 9.8e-01 1.0e+00 0.0e+00 
    10 1.1e-01 |  4.3e+11   1.0e+16 | 7.4e+08 4.5e+07 1.0e+16 | 6.7e-01 2.6e+00 1.0e+00 
    20 2.0e-01 |  7.2e+11   2.1e+16 | 7.7e+08 9.1e+07 2.1e+16 | 6.9e-01 5.2e+00 1.0e+00 
    30 3.0e-01 |  8.4e+11   3.2e+16 | 7.6e+08 1.6e+08 3.2e+16 | 6.9e-01 8.8e+00 1.0e+00 
    40 3.9e-01 |  9.7e+11   4.3e+16 | 7.6e+08 2.1e+08 4.3e+16 | 6.9e-01 1.2e+01 1.0e+00 
    50 4.8e-01 |  1.1e+12   5.4e+16 | 7.6e+08 2.6e+08 5.4e+16 | 6.9e-01 1.5e+01 1.0e+00 
    60 5.7e-01 |  1.4e+12   6.5e+16 | 7.7e+08 3.1e+08 6.5e+16 | 6.9e-01 1.8e+01 1.0e+00 
    70 6.7e-01 |  1.8e+12   7.6e+16 | 7.6e+08 3.6e+08 7.6e+16 | 6.9e-01 2.1e+01 1.0e+00 
    80 7.6e-01 |  2.3e+12   8.7e+16 | 7.6e+08 4.1e+08 8.7e+16 | 6.9e-01 2.3e+01 1.0e+00 
    90 8.5e-01 |  3.0e+12   9.8e+16 | 7.6e+08 4.6e+08 9.8e+16 | 6.9e-01 2.6e+01 1.0e+00 
   100 9.4e-01 |  3.8e+12   1.1e+17 | 7.6e+08 5.1e+08 1.1e+17 | 6.9e-01 2.9e+01 1.0e+00 
