### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/qap-tho-150.mps
### n_gpus=1
### CUDA_VISIBLE_DEVICES=0
### started=2026-06-28T20:02:33.672944
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 1 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/qap-tho-150.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/qap-tho-150__N1 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/qap-tho-150.mps'...
[Auto-Grid] Decided grid shape: 1 x 1 for 1 processes.
[Timer] Permuting LP Problem took 33.263 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 6705300 rows, 249783750 columns, 1005795000 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 1 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 54.055 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 2.1e-02 |  0.0e+00   0.0e+00 | 1.7e+01 1.0e+04 0.0e+00 | 9.5e-01 1.0e+00 0.0e+00 
    10 2.5e-01 |  7.5e+04   8.6e+07 | 1.3e+01 8.2e+07 8.6e+07 | 7.0e-01 7.9e+03 1.0e+00 
    20 4.7e-01 |  3.5e+06   9.5e+07 | 2.0e+00 8.8e+07 9.1e+07 | 1.1e-01 8.6e+03 9.3e-01 
    30 7.0e-01 |  5.1e+06   3.7e+07 | 3.2e+00 3.2e+07 3.2e+07 | 1.7e-01 3.1e+03 7.6e-01 
    40 9.2e-01 |  4.3e+06   5.4e+06 | 3.4e-01 8.6e+05 1.1e+06 | 1.8e-02 8.4e+01 1.2e-01 
    50 1.1e+00 |  3.6e+06   2.3e+07 | 2.4e+00 1.8e+07 1.9e+07 | 1.3e-01 1.7e+03 7.3e-01 
    60 1.4e+00 |  4.2e+06   3.4e+07 | 3.8e-01 2.8e+07 2.9e+07 | 2.1e-02 2.8e+03 7.8e-01 
    70 1.6e+00 |  4.7e+06   1.6e+07 | 1.3e+00 1.1e+07 1.1e+07 | 7.3e-02 1.1e+03 5.5e-01 
    80 1.8e+00 |  4.3e+06   5.1e+06 | 3.0e-01 6.1e+05 8.3e+05 | 1.6e-02 6.0e+01 8.8e-02 
    90 2.0e+00 |  4.0e+06   1.6e+07 | 1.3e+00 1.1e+07 1.2e+07 | 7.1e-02 1.1e+03 6.0e-01 
   100 2.3e+00 |  4.3e+06   2.2e+07 | 1.7e-01 1.7e+07 1.7e+07 | 9.1e-03 1.6e+03 6.6e-01 
   110 2.5e+00 |  4.6e+06   1.0e+07 | 8.3e-01 5.7e+06 5.8e+06 | 4.5e-02 5.6e+02 3.9e-01 
