### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/qap-wil-100.mps
### n_gpus=4
### CUDA_VISIBLE_DEVICES=0,1,2,3
### started=2026-06-28T20:04:42.419224
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 4 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/qap-wil-100.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/qap-wil-100__N4 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/qap-wil-100.mps'...
[Auto-Grid] Decided grid shape: 1 x 4 for 4 processes.
[Timer] Permuting LP Problem took 4.525 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 1980200 rows, 49015000 columns, 198020000 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 4 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 12.399 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.1e-03 |  0.0e+00   0.0e+00 | 1.4e+01 6.6e+03 0.0e+00 | 9.3e-01 1.0e+00 0.0e+00 
    10 1.3e-02 |  1.5e+04   1.6e+06 | 9.6e+00 1.4e+06 1.6e+06 | 6.3e-01 2.1e+02 9.8e-01 
    20 2.3e-02 |  2.2e+05   1.4e+06 | 9.4e-01 1.1e+06 1.2e+06 | 6.2e-02 1.7e+02 7.3e-01 
    30 3.3e-02 |  2.3e+05   3.6e+05 | 1.3e+00 1.2e+05 1.2e+05 | 8.6e-02 1.8e+01 2.1e-01 
    40 4.3e-02 |  1.9e+05   4.5e+05 | 2.0e+00 2.1e+05 2.6e+05 | 1.3e-01 3.2e+01 4.2e-01 
    50 5.3e-02 |  2.1e+05   7.0e+05 | 4.5e-01 4.6e+05 4.9e+05 | 2.9e-02 6.9e+01 5.3e-01 
    60 6.3e-02 |  2.3e+05   3.5e+05 | 8.4e-01 1.1e+05 1.1e+05 | 5.6e-02 1.7e+01 1.9e-01 
    70 7.3e-02 |  2.1e+05   3.0e+05 | 9.1e-01 7.0e+04 9.5e+04 | 6.0e-02 1.1e+01 1.9e-01 
    80 8.3e-02 |  2.1e+05   5.1e+05 | 5.3e-01 2.8e+05 3.0e+05 | 3.5e-02 4.2e+01 4.2e-01 
    90 9.3e-02 |  2.3e+05   3.5e+05 | 6.1e-01 1.2e+05 1.2e+05 | 4.0e-02 1.8e+01 2.1e-01 
   100 1.0e-01 |  2.1e+05   2.5e+05 | 4.3e-01 2.4e+04 3.7e+04 | 2.8e-02 3.7e+00 7.9e-02 
   110 1.1e-01 |  2.1e+05   4.2e+05 | 5.7e-01 1.8e+05 2.0e+05 | 3.8e-02 2.7e+01 3.2e-01 
