### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/tsp-gaia-10m.mps
### n_gpus=1
### CUDA_VISIBLE_DEVICES=0
### started=2026-06-28T20:08:14.524419
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 1 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/tsp-gaia-10m.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/tsp-gaia-10m__N1 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/tsp-gaia-10m.mps'...
[Auto-Grid] Decided grid shape: 1 x 1 for 1 processes.
[Timer] Permuting LP Problem took 13.260 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 17016681 rows, 60601996 columns, 475701996 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 1 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 20.965 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.3e-02 |  0.0e+00   0.0e+00 | 3.5e+03 7.8e+03 0.0e+00 | 8.5e-01 1.0e+00 0.0e+00 
    10 1.5e-01 |  1.1e+08   1.9e+08 | 5.8e+02 2.9e+03 7.8e+07 | 1.4e-01 3.8e-01 2.5e-01 
    20 2.8e-01 |  1.2e+08   1.6e+08 | 2.8e+02 1.5e+03 3.9e+07 | 6.8e-02 1.9e-01 1.4e-01 
    30 4.2e-01 |  1.2e+08   1.5e+08 | 1.8e+02 1.0e+03 2.7e+07 | 4.4e-02 1.3e-01 9.7e-02 
    40 5.5e-01 |  1.3e+08   1.5e+08 | 1.3e+02 7.6e+02 2.0e+07 | 3.2e-02 9.7e-02 7.4e-02 
    50 6.9e-01 |  1.3e+08   1.4e+08 | 1.0e+02 6.1e+02 1.6e+07 | 2.6e-02 7.8e-02 6.1e-02 
    60 8.3e-01 |  1.3e+08   1.4e+08 | 8.6e+01 5.1e+02 1.4e+07 | 2.1e-02 6.5e-02 5.1e-02 
    70 9.6e-01 |  1.3e+08   1.4e+08 | 7.3e+01 4.4e+02 1.2e+07 | 1.8e-02 5.6e-02 4.4e-02 
    80 1.1e+00 |  1.3e+08   1.4e+08 | 6.3e+01 3.8e+02 1.0e+07 | 1.6e-02 4.9e-02 3.9e-02 
    90 1.2e+00 |  1.3e+08   1.4e+08 | 5.6e+01 3.4e+02 9.4e+06 | 1.4e-02 4.4e-02 3.5e-02 
   100 1.4e+00 |  1.3e+08   1.4e+08 | 5.0e+01 3.1e+02 8.5e+06 | 1.2e-02 3.9e-02 3.2e-02 
   110 1.5e+00 |  1.3e+08   1.4e+08 | 4.6e+01 2.8e+02 7.7e+06 | 1.1e-02 3.6e-02 2.9e-02 
