### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/world-shipping.mps
### n_gpus=2
### CUDA_VISIBLE_DEVICES=0,1
### started=2026-06-28T20:18:15.489001
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 2 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/world-shipping.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/world-shipping__N2 --iter_limit 20000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/world-shipping.mps'...
[Auto-Grid] Decided grid shape: 1 x 2 for 2 processes.
[Timer] Permuting LP Problem took 19.823 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 15304282 rows, 228867510 columns, 688658522 nonzeros
settings:
  iter_limit         : 20000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 2 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 43.557 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 6.2e-03 |  0.0e+00   0.0e+00 | 0.0e+00 1.5e+03 0.0e+00 | 0.0e+00 1.0e+00 0.0e+00 
    10 7.0e-02 | -4.7e+04  -4.6e+03 | 3.4e+02 2.5e+03 4.3e+04 | 9.9e+01 1.7e+00 8.2e-01 
    20 1.3e-01 | -3.6e+04  -1.8e+03 | 3.6e+02 2.1e+03 3.4e+04 | 1.1e+02 1.5e+00 9.0e-01 
    30 1.9e-01 | -4.0e+04  -9.2e+02 | 4.3e+02 1.9e+03 3.9e+04 | 1.2e+02 1.3e+00 9.6e-01 
    40 2.6e-01 | -4.6e+04  -5.3e+02 | 4.9e+02 1.8e+03 4.6e+04 | 1.4e+02 1.2e+00 9.8e-01 
    50 3.2e-01 | -5.1e+04  -3.3e+02 | 5.4e+02 1.7e+03 5.1e+04 | 1.6e+02 1.1e+00 9.9e-01 
    60 3.8e-01 | -5.7e+04  -2.1e+02 | 5.6e+02 1.6e+03 5.7e+04 | 1.6e+02 1.1e+00 9.9e-01 
    70 4.4e-01 | -6.3e+04  -1.5e+02 | 5.5e+02 1.5e+03 6.3e+04 | 1.6e+02 1.1e+00 1.0e+00 
    80 5.0e-01 | -6.8e+04  -1.1e+02 | 5.2e+02 1.5e+03 6.8e+04 | 1.5e+02 1.0e+00 1.0e+00 
    90 5.7e-01 | -7.3e+04  -8.6e+01 | 5.1e+02 1.5e+03 7.3e+04 | 1.5e+02 1.0e+00 1.0e+00 
   100 6.3e-01 | -7.8e+04  -7.0e+01 | 5.0e+02 1.5e+03 7.8e+04 | 1.5e+02 1.0e+00 1.0e+00 
