### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/C5_bigger_sanitized.mps
### n_gpus=1
### CUDA_VISIBLE_DEVICES=0
### started=2026-06-20T10:51:39.368050
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 1 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/C5_bigger_sanitized.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/C5_bigger_sanitized__N1 --iter_limit 5000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/C5_bigger_sanitized.mps'...
[Auto-Grid] Decided grid shape: 1 x 1 for 1 processes.
[Timer] Permuting LP Problem took 24.165 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 57249021 rows, 327801326 columns, 731225678 nonzeros
settings:
  iter_limit         : 5000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 1 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 50.312 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.5e-02 |  0.0e+00   0.0e+00 | 2.8e+08 3.1e+06 0.0e+00 | 1.0e+00 1.0e+00 0.0e+00 
    10 1.6e-01 | -1.0e+12   5.2e+13 | 5.2e+07 5.8e+05 5.3e+13 | 1.9e-01 1.8e-01 1.0e+00 
    20 3.2e-01 | -8.0e+11   4.1e+13 | 3.9e+07 3.0e+05 4.1e+13 | 1.4e-01 9.5e-02 1.0e+00 
    30 4.7e-01 | -7.0e+11   4.0e+13 | 3.5e+07 2.3e+05 4.1e+13 | 1.3e-01 7.3e-02 1.0e+00 
    40 6.2e-01 | -6.2e+11   4.1e+13 | 3.3e+07 2.0e+05 4.2e+13 | 1.2e-01 6.3e-02 1.0e+00 
    50 7.7e-01 | -5.7e+11   4.3e+13 | 3.1e+07 1.7e+05 4.3e+13 | 1.1e-01 5.5e-02 1.0e+00 
    60 9.2e-01 | -5.4e+11   4.5e+13 | 3.0e+07 1.6e+05 4.5e+13 | 1.1e-01 5.1e-02 1.0e+00 
    70 1.1e+00 | -5.1e+11   4.7e+13 | 2.9e+07 1.5e+05 4.8e+13 | 1.0e-01 4.8e-02 1.0e+00 
    80 1.2e+00 | -4.8e+11   4.9e+13 | 2.8e+07 1.4e+05 5.0e+13 | 1.0e-01 4.6e-02 1.0e+00 
    90 1.4e+00 | -4.6e+11   5.2e+13 | 2.7e+07 1.4e+05 5.2e+13 | 9.7e-02 4.4e-02 1.0e+00 
   100 1.5e+00 | -4.4e+11   5.4e+13 | 2.6e+07 1.3e+05 5.5e+13 | 9.5e-02 4.2e-02 1.0e+00 
   110 1.7e+00 | -4.3e+11   5.6e+13 | 2.6e+07 1.3e+05 5.7e+13 | 9.2e-02 4.1e-02 1.0e+00 
