### solver=dpdlp
### instance=/home/scratch.bbozkaya_gpu/datasets/GAMS/ELMOD_876_10_noVEnames.mps
### n_gpus=2
### CUDA_VISIBLE_DEVICES=0,1
### started=2026-06-20T11:38:20.744082
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 2 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.bbozkaya_gpu/datasets/GAMS/ELMOD_876_10_noVEnames.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/ELMOD_876_10_noVEnames__N2 --iter_limit 5000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.bbozkaya_gpu/datasets/GAMS/ELMOD_876_10_noVEnames.mps'...
[Auto-Grid] Decided grid shape: 2 x 1 for 2 processes.
[Timer] Permuting LP Problem took 24.135 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 256284723 rows, 226061766 columns, 717436984 nonzeros
settings:
  iter_limit         : 5000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 2 x 1 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 65.770 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.3e-02 |  0.0e+00   0.0e+00 | 1.2e+06 1.0e+00 0.0e+00 | 6.1e-02 5.0e-01 0.0e+00 
    10 1.6e-01 | -4.3e+08   2.1e+03 | 7.3e+07 1.0e+00 4.3e+08 | 3.9e+00 5.0e-01 1.0e+00 
    20 2.9e-01 | -9.0e+08   4.4e+03 | 7.2e+07 1.0e+00 9.0e+08 | 3.8e+00 5.0e-01 1.0e+00 
    30 4.3e-01 | -1.4e+09   6.7e+03 | 5.8e+07 1.0e+00 1.4e+09 | 3.1e+00 5.0e-01 1.0e+00 
    40 5.6e-01 | -1.8e+09   9.0e+03 | 3.8e+07 1.0e+00 1.8e+09 | 2.0e+00 5.0e-01 1.0e+00 
    50 7.0e-01 | -2.3e+09   1.1e+04 | 1.9e+07 1.0e+00 2.3e+09 | 9.9e-01 5.0e-01 1.0e+00 
    60 8.4e-01 | -2.8e+09   1.4e+04 | 6.1e+06 1.0e+00 2.8e+09 | 3.2e-01 5.0e-01 1.0e+00 
    70 9.7e-01 | -3.3e+09   1.6e+04 | 8.4e+06 1.0e+00 3.3e+09 | 4.5e-01 5.0e-01 1.0e+00 
    80 1.1e+00 | -3.7e+09   1.8e+04 | 1.4e+07 1.0e+00 3.7e+09 | 7.6e-01 5.0e-01 1.0e+00 
    90 1.2e+00 | -4.2e+09   2.1e+04 | 1.8e+07 1.0e+00 4.2e+09 | 9.3e-01 5.0e-01 1.0e+00 
   100 1.4e+00 | -4.7e+09   2.3e+04 | 1.5e+07 1.0e+00 4.7e+09 | 8.0e-01 5.0e-01 1.0e+00 
   110 1.5e+00 | -5.2e+09   2.5e+04 | 9.4e+06 1.0e+00 5.2e+09 | 5.0e-01 5.0e-01 1.0e+00 
