### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/mostovoi_cuopt/datasets/linear_programming/afiro_original.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-06-20T10:29:32.265067
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/mostovoi_cuopt/datasets/linear_programming/afiro_original.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/afiro_original__N8 --iter_limit 5000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/mostovoi_cuopt/datasets/linear_programming/afiro_original.mps'...
[Auto-Grid] Decided grid shape: 2 x 4 for 8 processes.
[Timer] Permuting LP Problem took 0.000 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 27 rows, 32 columns, 83 nonzeros
settings:
  iter_limit         : 5000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 2 x 4 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 0.000 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 2.1e-04 |  0.0e+00   0.0e+00 | 0.0e+00 1.0e+01 0.0e+00 | 0.0e+00 9.1e-01 0.0e+00 
    10 4.7e-03 | -1.1e+02   0.0e+00 | 1.6e+01 6.8e-01 1.1e+02 | 1.9e-02 6.2e-02 9.9e-01 
    20 5.3e-03 | -2.1e+02  -1.0e+01 | 7.4e+00 6.2e-01 2.0e+02 | 8.8e-03 5.6e-02 9.0e-01 
    30 5.8e-03 | -3.0e+02  -3.4e+01 | 3.2e+00 5.7e-01 2.6e+02 | 3.8e-03 5.1e-02 7.9e-01 
    40 6.4e-03 | -3.8e+02  -3.7e+01 | 2.5e+00 5.6e-01 3.5e+02 | 3.0e-03 5.1e-02 8.2e-01 
    50 6.9e-03 | -4.7e+02  -1.1e+02 | 2.6e+00 4.6e-01 3.5e+02 | 3.1e-03 4.2e-02 6.1e-01 
    60 7.5e-03 | -4.5e+02  -3.1e+02 | 2.6e+00 2.6e-01 1.3e+02 | 3.1e-03 2.3e-02 1.8e-01 
    70 8.0e-03 | -4.7e+02  -3.4e+02 | 1.2e+01 2.3e-01 1.3e+02 | 1.5e-02 2.1e-02 1.6e-01 
    80 8.6e-03 | -4.7e+02  -2.5e+02 | 3.8e+00 2.9e-01 2.2e+02 | 4.6e-03 2.6e-02 3.1e-01 
    90 9.2e-03 | -4.6e+02  -3.9e+02 | 3.1e+00 1.2e-01 7.0e+01 | 3.7e-03 1.1e-02 8.3e-02 
   100 9.7e-03 | -4.7e+02  -4.2e+02 | 7.6e+00 9.3e-02 5.2e+01 | 9.1e-03 8.4e-03 5.8e-02 
   110 1.0e-02 | -4.7e+02  -3.2e+02 | 4.0e+00 2.0e-01 1.5e+02 | 4.7e-03 1.8e-02 1.9e-01 
