### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-easy.mps
### n_gpus=2
### CUDA_VISIBLE_DEVICES=0,1
### started=2026-06-20T11:50:26.395375
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 2 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-easy.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/heat-source-easy__N2 --iter_limit 5000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-easy.mps'...
[Auto-Grid] Decided grid shape: 1 x 2 for 2 processes.
[Timer] Permuting LP Problem took 2.460 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 15625000 rows, 31628008 columns, 125000000 nonzeros
settings:
  iter_limit         : 5000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 2 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 6.961 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.6e-03 |  0.0e+00   0.0e+00 | 0.0e+00 4.0e+03 0.0e+00 | 0.0e+00 1.0e+00 0.0e+00 
    10 1.8e-02 |  3.4e+02   1.1e+13 | 6.2e+05 7.8e+11 1.1e+13 | 6.2e+05 2.0e+08 1.0e+00 
    20 3.4e-02 |  2.6e+03   1.6e+13 | 5.2e+05 6.5e+11 1.6e+13 | 5.2e+05 1.6e+08 1.0e+00 
    30 4.9e-02 |  4.0e+03   2.0e+13 | 4.7e+05 5.9e+11 2.0e+13 | 4.7e+05 1.5e+08 1.0e+00 
    40 6.4e-02 |  2.4e+04   2.3e+13 | 4.4e+05 5.5e+11 2.3e+13 | 4.4e+05 1.4e+08 1.0e+00 
    50 8.0e-02 |  5.4e+04   2.6e+13 | 4.2e+05 5.2e+11 2.6e+13 | 4.2e+05 1.3e+08 1.0e+00 
    60 9.5e-02 |  8.2e+04   2.8e+13 | 4.0e+05 5.0e+11 2.8e+13 | 4.0e+05 1.3e+08 1.0e+00 
    70 1.1e-01 |  1.1e+05   3.1e+13 | 3.8e+05 4.8e+11 3.1e+13 | 3.8e+05 1.2e+08 1.0e+00 
    80 1.3e-01 |  1.3e+05   3.3e+13 | 3.7e+05 4.7e+11 3.3e+13 | 3.7e+05 1.2e+08 1.0e+00 
    90 1.4e-01 |  1.7e+05   3.5e+13 | 3.6e+05 4.6e+11 3.5e+13 | 3.6e+05 1.2e+08 1.0e+00 
   100 1.6e-01 |  2.2e+05   3.7e+13 | 3.5e+05 4.5e+11 3.7e+13 | 3.5e+05 1.1e+08 1.0e+00 
   110 1.7e-01 |  2.7e+05   3.9e+13 | 3.4e+05 4.4e+11 3.9e+13 | 3.4e+05 1.1e+08 1.0e+00 
