### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-hard.mps
### n_gpus=4
### CUDA_VISIBLE_DEVICES=0,1,2,3
### started=2026-06-20T11:54:52.950163
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 4 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-hard.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/heat-source-hard__N4 --iter_limit 5000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-hard.mps'...
[Auto-Grid] Decided grid shape: 1 x 4 for 4 processes.
[Timer] Permuting LP Problem took 2.463 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 15625000 rows, 31628008 columns, 125000000 nonzeros
settings:
  iter_limit         : 5000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 4 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 8.360 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.3e-03 |  0.0e+00   0.0e+00 | 0.0e+00 4.0e+03 0.0e+00 | 0.0e+00 1.0e+00 0.0e+00 
    10 1.6e-02 |  1.9e+02   2.6e+12 | 3.0e+05 3.7e+11 2.6e+12 | 3.0e+05 9.4e+07 1.0e+00 
    20 2.8e-02 |  1.5e+03   3.6e+12 | 2.5e+05 3.1e+11 3.6e+12 | 2.5e+05 7.8e+07 1.0e+00 
    30 4.1e-02 |  2.1e+02   4.4e+12 | 2.2e+05 2.8e+11 4.4e+12 | 2.2e+05 7.1e+07 1.0e+00 
    40 5.3e-02 |  1.0e+03   5.2e+12 | 2.1e+05 2.6e+11 5.2e+12 | 2.1e+05 6.6e+07 1.0e+00 
    50 6.5e-02 |  2.8e+03   5.8e+12 | 2.0e+05 2.5e+11 5.8e+12 | 2.0e+05 6.3e+07 1.0e+00 
    60 7.7e-02 |  5.9e+03   6.4e+12 | 1.9e+05 2.4e+11 6.4e+12 | 1.9e+05 6.0e+07 1.0e+00 
    70 8.9e-02 |  1.0e+04   6.9e+12 | 1.8e+05 2.3e+11 6.9e+12 | 1.8e+05 5.8e+07 1.0e+00 
    80 1.0e-01 |  1.5e+04   7.4e+12 | 1.8e+05 2.2e+11 7.4e+12 | 1.8e+05 5.6e+07 1.0e+00 
    90 1.1e-01 |  2.0e+04   7.9e+12 | 1.7e+05 2.2e+11 7.9e+12 | 1.7e+05 5.5e+07 1.0e+00 
   100 1.3e-01 |  2.8e+04   8.3e+12 | 1.7e+05 2.1e+11 8.3e+12 | 1.7e+05 5.3e+07 1.0e+00 
   110 1.4e-01 |  3.9e+04   8.8e+12 | 1.6e+05 2.1e+11 8.8e+12 | 1.6e+05 5.2e+07 1.0e+00 
