### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps
### n_gpus=4
### CUDA_VISIBLE_DEVICES=0,1,2,3
### started=2026-06-20T13:53:26.596361
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 4 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/supply-chain__N4 --iter_limit 5000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps'...
[Auto-Grid] Decided grid shape: 1 x 4 for 4 processes.
[Timer] Permuting LP Problem took 11.395 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 2210100 rows, 201000100 columns, 403000100 nonzeros
settings:
  iter_limit         : 5000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 4 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 39.473 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 2.8e-03 |  0.0e+00   0.0e+00 | 1.4e+03 1.4e+04 0.0e+00 | 1.0e+00 1.0e+00 0.0e+00 
    10 3.3e-02 |  1.2e+07   1.2e+08 | 5.3e+05 4.5e+03 1.1e+08 | 3.8e+02 3.2e-01 8.2e-01 
    20 6.1e-02 |  1.7e+07   2.1e+08 | 5.3e+05 2.7e+03 1.9e+08 | 3.8e+02 1.9e-01 8.5e-01 
    30 9.0e-02 |  3.2e+07   2.9e+08 | 4.5e+05 3.2e+03 2.6e+08 | 3.2e+02 2.3e-01 8.0e-01 
    40 1.2e-01 |  5.7e+07   3.3e+08 | 3.2e+05 3.7e+03 2.7e+08 | 2.3e+02 2.6e-01 7.1e-01 
    50 1.5e-01 |  8.6e+07   3.2e+08 | 2.2e+05 3.7e+03 2.3e+08 | 1.5e+02 2.6e-01 5.8e-01 
    60 1.7e-01 |  1.1e+08   2.8e+08 | 1.6e+05 3.2e+03 1.7e+08 | 1.1e+02 2.2e-01 4.5e-01 
    70 2.0e-01 |  1.2e+08   2.6e+08 | 1.2e+05 2.8e+03 1.4e+08 | 8.3e+01 2.0e-01 3.8e-01 
    80 2.3e-01 |  1.2e+08   2.4e+08 | 9.3e+04 2.5e+03 1.2e+08 | 6.5e+01 1.7e-01 3.4e-01 
    90 2.6e-01 |  1.2e+08   2.3e+08 | 7.8e+04 2.2e+03 1.1e+08 | 5.5e+01 1.6e-01 3.1e-01 
   100 2.9e-01 |  1.2e+08   2.2e+08 | 6.9e+04 2.0e+03 9.8e+07 | 4.9e+01 1.4e-01 2.9e-01 
