### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-06-20T13:55:06.531515
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs/dpdlp/supply-chain__N8 --iter_limit 5000 --time_limit 1e9 --eps_opt 1e-30 --eps_feas 1e-30 --eps_infeas_detect 1e-30 --verbose --no_presolve
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps'...
[Auto-Grid] Decided grid shape: 1 x 8 for 8 processes.
[Timer] Permuting LP Problem took 12.009 seconds.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 2210100 rows, 201000100 columns, 403000100 nonzeros
settings:
  iter_limit         : 5000
  time_limit         : 1000000000.00 sec
  eps_opt            : 1.0e-30
  eps_feas           : 1.0e-30
  eps_infeas_detect  : 1.0e-30
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : 1 x 8 (Rows x Cols)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------

[Timer] Data Distribution (Bcast -> Partition) took 31.307 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 1.5e-03 |  0.0e+00   0.0e+00 | 1.4e+03 1.4e+04 0.0e+00 | 1.0e+00 1.0e+00 0.0e+00 
    10 1.9e-02 |  1.2e+07   1.2e+08 | 5.3e+05 4.5e+03 1.1e+08 | 3.8e+02 3.2e-01 8.2e-01 
    20 3.4e-02 |  1.7e+07   2.1e+08 | 5.3e+05 2.7e+03 1.9e+08 | 3.8e+02 1.9e-01 8.5e-01 
    30 4.8e-02 |  3.2e+07   2.9e+08 | 4.5e+05 3.2e+03 2.6e+08 | 3.2e+02 2.3e-01 8.0e-01 
    40 6.2e-02 |  5.7e+07   3.3e+08 | 3.2e+05 3.7e+03 2.7e+08 | 2.3e+02 2.6e-01 7.1e-01 
    50 7.6e-02 |  8.6e+07   3.2e+08 | 2.2e+05 3.7e+03 2.3e+08 | 1.5e+02 2.6e-01 5.8e-01 
    60 9.0e-02 |  1.1e+08   2.8e+08 | 1.6e+05 3.2e+03 1.7e+08 | 1.1e+02 2.2e-01 4.5e-01 
    70 1.0e-01 |  1.2e+08   2.6e+08 | 1.2e+05 2.8e+03 1.4e+08 | 8.3e+01 2.0e-01 3.8e-01 
    80 1.2e-01 |  1.2e+08   2.4e+08 | 9.3e+04 2.5e+03 1.2e+08 | 6.5e+01 1.7e-01 3.4e-01 
    90 1.3e-01 |  1.2e+08   2.3e+08 | 7.8e+04 2.2e+03 1.1e+08 | 5.5e+01 1.6e-01 3.1e-01 
   100 1.5e-01 |  1.2e+08   2.2e+08 | 6.9e+04 2.0e+03 9.8e+07 | 4.9e+01 1.4e-01 2.9e-01 
   110 1.6e-01 |  1.2e+08   2.1e+08 | 6.6e+04 1.8e+03 9.2e+07 | 4.7e+01 1.3e-01 2.8e-01 
