### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/C5_baseline_sanitized.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-07-17T21:07:56.974664
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/C5_baseline_sanitized.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs_endtoend/1e-4/dpdlp/C5_baseline_sanitized__N8 --iter_limit 10000000 --time_limit 3600 --eps_opt 1e-4 --eps_feas 1e-4 --verbose
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/C5_baseline_sanitized.mps'...
[Auto-Grid] Decided grid shape: 1 x 8 for 8 processes.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 20649941 rows, 133005495 columns, 279633807 nonzeros
settings:
  iter_limit         : 10000000
  time_limit         : 3600.00 sec
  eps_opt            : 1.0e-04
  eps_feas           : 1.0e-04
  eps_infeas_detect  : 1.0e-10
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : Auto-detect (implementation dependent)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------
Running presolver (PSLP v0.0.8)...
Maximum time limit of 60.00 seconds reached.
  status          : REDUCED
  presolve time   : 92 sec
  reduced problem : 5786510 rows, 63421162 columns, 137161673 nonzeros
[Timer] Permuting LP Problem took 5.310 seconds.
[Timer] Data Distribution (Bcast -> Partition) took 11.672 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 0.0e+00 |  7.1e+10   7.1e+10 | 2.1e+08 5.8e+06 0.0e+00 | 7.2e-01 1.0e+00 0.0e+00 
   200 1.4e-01 | -4.3e+11   2.6e+13 | 4.3e+06 8.1e+04 2.6e+13 | 1.5e-02 1.4e-02 1.0e+00 
   400 1.1e+00 | -2.6e+11   3.6e+12 | 5.5e+06 2.1e+04 3.9e+12 | 1.9e-02 3.6e-03 1.0e+00 
   600 1.2e+00 | -2.1e+11   2.5e+11 | 4.0e+06 8.8e+03 4.5e+11 | 1.3e-02 1.5e-03 1.0e+00 
   800 1.4e+00 | -1.8e+11   2.0e+11 | 3.2e+06 5.2e+03 3.7e+11 | 1.1e-02 8.9e-04 1.0e+00 
  1000 1.5e+00 | -1.4e+11   1.4e+11 | 2.7e+06 4.6e+03 2.8e+11 | 9.1e-03 8.0e-04 1.0e+00 
  1200 1.6e+00 | -1.2e+11   2.1e+11 | 2.2e+06 4.1e+03 3.2e+11 | 7.4e-03 7.1e-04 1.0e+00 
  1400 1.7e+00 | -1.0e+11   2.6e+11 | 1.6e+06 3.8e+03 3.6e+11 | 5.3e-03 6.6e-04 1.0e+00 
  1600 1.8e+00 | -7.5e+10   3.0e+11 | 1.2e+06 3.4e+03 3.7e+11 | 4.0e-03 5.9e-04 1.0e+00 
  1800 1.9e+00 | -6.4e+10   3.2e+11 | 1.1e+06 3.3e+03 3.8e+11 | 3.7e-03 5.7e-04 1.0e+00 
  2000 2.1e+00 | -5.4e+10   3.3e+11 | 9.4e+05 3.1e+03 3.9e+11 | 3.2e-03 5.3e-04 1.0e+00 
  2200 2.2e+00 | -4.5e+10   3.3e+11 | 8.6e+05 2.9e+03 3.8e+11 | 2.9e-03 5.0e-04 1.0e+00 
  2400 2.3e+00 | -3.4e+10   3.4e+11 | 9.1e+05 2.5e+03 3.7e+11 | 3.1e-03 4.3e-04 1.0e+00 
