### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-easy.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-07-17T22:23:40.170026
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-easy.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs_endtoend/1e-4/dpdlp/heat-source-easy__N8 --iter_limit 10000000 --time_limit 3600 --eps_opt 1e-4 --eps_feas 1e-4 --verbose
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-easy.mps'...
[Auto-Grid] Decided grid shape: 2 x 4 for 8 processes.
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 15625000 rows, 31628008 columns, 125000000 nonzeros
settings:
  iter_limit         : 10000000
  time_limit         : 3600.00 sec
  eps_opt            : 1.0e-04
  eps_feas           : 1.0e-04
  eps_infeas_detect  : 1.0e-10
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : Auto-detect (implementation dependent)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------
Running presolver (PSLP v0.0.8)...
  status          : REDUCED
  presolve time   : 15.3 sec
  reduced problem : 15625000 rows, 15624300 columns, 108995112 nonzeros
[Timer] Permuting LP Problem took 2.095 seconds.
[Timer] Data Distribution (Bcast -> Partition) took 5.800 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 0.0e+00 |  0.0e+00   0.0e+00 | 1.0e+06 7.0e+06 0.0e+00 | 1.0e+00 1.0e+00 0.0e+00 
   200 1.4e-01 | -2.7e+05   7.9e+07 | 3.0e+05 4.8e+05 8.0e+07 | 2.9e-01 6.9e-02 1.0e+00 
   400 2.6e-01 |  1.2e+03   1.3e+08 | 2.4e+05 5.7e+05 1.3e+08 | 2.4e-01 8.1e-02 1.0e+00 
   600 3.8e-01 |  1.9e+05   1.8e+08 | 2.1e+05 6.9e+05 1.8e+08 | 2.1e-01 9.8e-02 1.0e+00 
   800 5.0e-01 |  6.2e+05   2.1e+08 | 1.8e+05 7.1e+05 2.1e+08 | 1.8e-01 1.0e-01 9.9e-01 
  1000 6.2e-01 |  1.5e+06   2.5e+08 | 1.6e+05 8.0e+05 2.5e+08 | 1.6e-01 1.1e-01 9.9e-01 
  1200 7.4e-01 |  2.8e+06   2.8e+08 | 1.4e+05 8.3e+05 2.7e+08 | 1.4e-01 1.2e-01 9.8e-01 
  1400 8.5e-01 |  4.2e+06   2.9e+08 | 1.3e+05 8.3e+05 2.9e+08 | 1.2e-01 1.2e-01 9.7e-01 
  1600 9.7e-01 |  5.6e+06   3.0e+08 | 1.2e+05 8.6e+05 3.0e+08 | 1.1e-01 1.2e-01 9.6e-01 
  1800 1.1e+00 |  7.2e+06   3.0e+08 | 1.1e+05 8.6e+05 3.0e+08 | 1.0e-01 1.2e-01 9.5e-01 
  2000 1.2e+00 |  9.2e+06   3.0e+08 | 9.8e+04 8.4e+05 2.9e+08 | 9.5e-02 1.2e-01 9.4e-01 
  2200 1.3e+00 |  1.1e+07   2.8e+08 | 8.9e+04 8.0e+05 2.7e+08 | 8.6e-02 1.1e-01 9.2e-01 
