### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-hard.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-07-18T23:39:16.100812
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-hard.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs_endtoend/1e-4/dpdlp/heat-source-hard__N8 --iter_limit 10000000 --time_limit 3600 --eps_opt 1e-4 --eps_feas 1e-4 --verbose
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/heat-source-hard.mps'...
[Auto-Grid] Decided grid shape: 2 x 4 for 8 processes.
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 15625000 rows, 31628008 columns, 125000000 nonzeros
settings:
  iter_limit         : 10000000
  time_limit         : 3600.00 sec
  eps_opt            : 1.0e-04
  eps_feas           : 1.0e-04
  eps_infeas_detect  : 1.0e-10
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : Auto-detect (implementation dependent)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------
Running presolver (PSLP v0.0.8)...
  status          : REDUCED
  presolve time   : 15 sec
  reduced problem : 15625000 rows, 15624900 columns, 108999302 nonzeros
[Timer] Permuting LP Problem took 2.077 seconds.
[Timer] Data Distribution (Bcast -> Partition) took 4.697 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 0.0e+00 |  0.0e+00   0.0e+00 | 4.9e+05 9.1e+06 0.0e+00 | 1.0e+00 1.0e+00 0.0e+00 
   200 6.7e-01 | -1.6e+05   4.9e+07 | 1.4e+05 6.0e+05 4.9e+07 | 2.9e-01 6.6e-02 1.0e+00 
   400 7.9e-01 | -3.4e+02   8.2e+07 | 1.3e+05 6.7e+05 8.2e+07 | 2.5e-01 7.5e-02 1.0e+00 
   600 9.1e-01 |  3.0e+05   1.3e+08 | 1.1e+05 8.7e+05 1.3e+08 | 2.3e-01 9.7e-02 1.0e+00 
   800 1.0e+00 |  9.4e+05   1.7e+08 | 1.0e+05 9.2e+05 1.7e+08 | 2.1e-01 1.0e-01 9.9e-01 
  1000 1.1e+00 |  1.5e+06   2.4e+08 | 9.9e+04 1.1e+06 2.3e+08 | 2.0e-01 1.3e-01 9.9e-01 
  1200 1.3e+00 |  2.1e+06   3.0e+08 | 9.3e+04 1.3e+06 2.9e+08 | 1.9e-01 1.4e-01 9.9e-01 
  1400 1.4e+00 |  2.8e+06   3.5e+08 | 8.7e+04 1.4e+06 3.4e+08 | 1.8e-01 1.5e-01 9.8e-01 
  1600 1.5e+00 |  3.4e+06   4.4e+08 | 8.5e+04 1.6e+06 4.4e+08 | 1.7e-01 1.8e-01 9.8e-01 
  1800 1.6e+00 |  4.3e+06   5.3e+08 | 8.1e+04 1.9e+06 5.2e+08 | 1.6e-01 2.1e-01 9.8e-01 
  2000 1.7e+00 |  5.6e+06   6.1e+08 | 7.7e+04 2.1e+06 6.0e+08 | 1.6e-01 2.3e-01 9.8e-01 
  2200 1.9e+00 |  7.2e+06   6.8e+08 | 7.3e+04 2.3e+06 6.7e+08 | 1.5e-01 2.5e-01 9.8e-01 
  2400 2.0e+00 |  8.2e+06   8.1e+08 | 7.0e+04 2.6e+06 8.0e+08 | 1.4e-01 2.9e-01 9.8e-01 
  2600 2.1e+00 |  9.5e+06   9.2e+08 | 6.8e+04 3.0e+06 9.1e+08 | 1.4e-01 3.3e-01 9.8e-01 
