### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/mediterranean-shipping.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-07-18T23:46:41.039279
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/mediterranean-shipping.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs_endtoend/1e-4/dpdlp/mediterranean-shipping__N8 --iter_limit 10000000 --time_limit 3600 --eps_opt 1e-4 --eps_feas 1e-4 --verbose
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/mediterranean-shipping.mps'...
[Auto-Grid] Decided grid shape: 1 x 8 for 8 processes.
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 7490593 rows, 208479461 columns, 628927462 nonzeros
settings:
  iter_limit         : 10000000
  time_limit         : 3600.00 sec
  eps_opt            : 1.0e-04
  eps_feas           : 1.0e-04
  eps_infeas_detect  : 1.0e-10
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : Auto-detect (implementation dependent)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------
Running presolver (PSLP v0.0.8)...
  status          : REDUCED
  presolve time   : 90.7 sec
  reduced problem : 7104076 rows, 208289075 columns, 628364803 nonzeros
[Timer] Permuting LP Problem took 17.680 seconds.
[Timer] Data Distribution (Bcast -> Partition) took 36.547 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 0.0e+00 |  0.0e+00   0.0e+00 | 0.0e+00 3.4e+03 0.0e+00 | 0.0e+00 1.0e+00 0.0e+00 
   200 7.9e-01 | -7.5e+00   0.0e+00 | 3.8e-02 6.6e+01 7.5e+00 | 1.4e-02 2.0e-02 8.8e-01 
   400 1.9e+00 | -2.3e+01   0.0e+00 | 7.9e-02 5.8e+01 2.3e+01 | 2.9e-02 1.7e-02 9.6e-01 
   600 2.2e+00 | -7.3e+01   0.0e+00 | 2.1e-01 5.4e+01 7.3e+01 | 7.5e-02 1.6e-02 9.9e-01 
   800 2.5e+00 | -1.1e+02   0.0e+00 | 2.8e-01 4.7e+01 1.1e+02 | 1.0e-01 1.4e-02 9.9e-01 
  1000 2.8e+00 | -2.2e+02   0.0e+00 | 5.4e-01 4.6e+01 2.2e+02 | 2.0e-01 1.4e-02 1.0e+00 
  1200 3.0e+00 | -3.2e+02   0.0e+00 | 7.0e-01 4.4e+01 3.2e+02 | 2.6e-01 1.3e-02 1.0e+00 
  1400 3.3e+00 | -4.1e+02   0.0e+00 | 8.1e-01 4.2e+01 4.1e+02 | 3.0e-01 1.2e-02 1.0e+00 
  1600 3.6e+00 | -7.0e+02   0.0e+00 | 1.4e+00 4.1e+01 7.0e+02 | 5.0e-01 1.2e-02 1.0e+00 
  1800 3.9e+00 | -9.9e+02   0.0e+00 | 1.8e+00 4.1e+01 9.9e+02 | 6.5e-01 1.2e-02 1.0e+00 
  2000 4.2e+00 | -1.2e+03  -4.0e+02 | 2.1e+00 2.4e+01 7.6e+02 | 7.7e-01 7.0e-03 4.9e-01 
  2200 4.5e+00 | -1.2e+03  -5.9e+02 | 2.1e+00 1.7e+01 6.4e+02 | 7.7e-01 5.2e-03 3.5e-01 
  2400 4.8e+00 | -1.3e+03  -1.0e+03 | 3.0e+00 5.5e+00 2.3e+02 | 1.1e+00 1.6e-03 9.9e-02 
  2600 5.1e+00 | -1.3e+03  -1.1e+03 | 2.7e+00 3.7e+00 2.2e+02 | 1.0e+00 1.1e-03 9.0e-02 
  2800 5.4e+00 | -1.3e+03  -1.1e+03 | 2.6e+00 2.6e+00 2.1e+02 | 9.5e-01 7.8e-04 8.6e-02 
