### solver=dpdlp
### instance=/home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps
### n_gpus=8
### CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7
### started=2026-07-20T17:46:34.570346
### argv=/home/scratch.vmostovoi_gpu/.conda/envs/dpdlp/bin/mpirun -n 8 /home/scratch.vmostovoi_gpu/D-PDLP/build/cupdlpx-dist /home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps /home/scratch.vmostovoi_gpu/scaling_bench/runs_endtoend/1e-6/dpdlp/supply-chain__N8 --iter_limit 10000000 --time_limit 3600 --eps_opt 1e-6 --eps_feas 1e-6 --verbose
### --- solver output ---
Rank 0: Loading MPS file '/home/scratch.vmostovoi_gpu/datasets/big_lp/google/supply-chain.mps'...
[Auto-Grid] Decided grid shape: 1 x 8 for 8 processes.
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
NCCL version 2.30.7+cuda12.9
---------------------------------------------------------------------------------------
                                     D-PDLP                                                
             A First-Order LP Solver Powered by Multiple GPU System                        
                              (c) Hongpei Li, 2026                                           
                          Contact: ishongpeili@gmail.com                                      
                                                                                           
   Based on cuPDLPx by Haihao Lu, MIT (2025): https://github.com/MIT-Lu-Lab/cuPDLPx  
---------------------------------------------------------------------------------------
problem: 2210100 rows, 201000100 columns, 403000100 nonzeros
settings:
  iter_limit         : 10000000
  time_limit         : 3600.00 sec
  eps_opt            : 1.0e-06
  eps_feas           : 1.0e-06
  eps_infeas_detect  : 1.0e-10
------------------------------ Distributed Configuration ------------------------------
   Grid Size         : Auto-detect (implementation dependent)
  Partition Method   : NNZ Balance
  Permute Method     : Block Random (Block-wise Random shuffle)
---------------------------------------------------------------------------------------
Running presolver (PSLP v0.0.8)...
  status          : REDUCED
  presolve time   : 130 sec
  reduced problem : 2210077 rows, 200997800 columns, 402995500 nonzeros
[Timer] Permuting LP Problem took 15.982 seconds.
[Timer] Data Distribution (Bcast -> Partition) took 30.693 seconds.
---------------------------------------------------------------------------------------
   runtime     |     objective      |   absolute residuals    |   relative residuals    
  iter   time  |  pr obj    du obj  |  pr res  du res   gap   |  pr res  du res   gap   
---------------------------------------------------------------------------------------
     0 0.0e+00 |  0.0e+00   0.0e+00 | 1.4e+03 1.4e+04 0.0e+00 | 1.0e+00 1.0e+00 0.0e+00 
   200 2.6e-01 |  1.1e+08   1.9e+08 | 4.4e+04 1.3e+03 7.6e+07 | 3.1e+01 9.4e-02 2.5e-01 
   400 1.4e+00 |  1.1e+08   1.4e+08 | 1.5e+04 5.5e+02 2.7e+07 | 1.0e+01 3.9e-02 1.1e-01 
   600 1.6e+00 |  1.1e+08   1.2e+08 | 1.0e+04 3.1e+02 1.5e+07 | 7.3e+00 2.2e-02 6.4e-02 
   800 1.9e+00 |  1.1e+08   1.2e+08 | 7.9e+03 2.3e+02 1.2e+07 | 5.6e+00 1.6e-02 5.4e-02 
  1000 2.1e+00 |  1.1e+08   1.1e+08 | 8.1e+03 1.4e+02 7.9e+06 | 5.7e+00 1.0e-02 3.6e-02 
  1200 2.3e+00 |  1.1e+08   1.1e+08 | 7.1e+03 1.1e+02 7.2e+06 | 5.0e+00 8.1e-03 3.3e-02 
  1400 2.6e+00 |  1.1e+08   1.1e+08 | 6.5e+03 9.7e+01 6.8e+06 | 4.6e+00 6.8e-03 3.1e-02 
  1600 2.8e+00 |  1.1e+08   1.1e+08 | 7.4e+03 6.6e+01 5.4e+06 | 5.2e+00 4.7e-03 2.5e-02 
  1800 3.1e+00 |  1.1e+08   1.1e+08 | 6.5e+03 5.3e+01 5.1e+06 | 4.6e+00 3.7e-03 2.4e-02 
  2000 3.3e+00 |  1.0e+08   1.1e+08 | 6.1e+03 4.5e+01 5.0e+06 | 4.3e+00 3.2e-03 2.3e-02 
  2200 3.6e+00 |  1.0e+08   1.1e+08 | 5.8e+03 3.9e+01 4.9e+06 | 4.1e+00 2.8e-03 2.3e-02 
  2400 3.8e+00 |  1.0e+08   1.1e+08 | 6.6e+03 2.8e+01 4.4e+06 | 4.7e+00 2.0e-03 2.0e-02 
  2600 4.1e+00 |  1.0e+08   1.1e+08 | 6.0e+03 2.3e+01 4.3e+06 | 4.2e+00 1.6e-03 2.0e-02 
